timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;accelX;accelY;accelZ;hr;rr;rrsecure;spo2
09:59:53.001123;0;44915;34185;16451;61591;56719;25380;-0.385;-0.548;0.756;60.0;0.0;0;0.0
09:59:53.008118;1;44914;34177;16453;61594;56717;25379;-0.384;-0.547;0.755;60.0;0.0;0;0.0
09:59:53.015170;2;56322;34177;16451;77262;56721;25379;-0.385;-0.546;0.755;60.0;0.0;0;0.0
09:59:53.021122;3;67756;34177;16451;93075;56717;25379;-0.385;-0.547;0.756;60.0;0.0;0;0.0
09:59:53.028121;4;79344;34179;16450;108983;56716;25379;-0.385;-0.547;0.755;60.0;0.0;0;0.0
09:59:53.035141;5;89866;34174;16448;123452;56707;25378;-0.384;-0.546;0.757;60.0;0.0;0;0.0
09:59:53.041455;6;100554;34173;16449;138145;56712;25378;-0.385;-0.548;0.755;60.0;0.0;0;0.0
09:59:53.048129;7;110892;34174;16450;152405;56711;25380;-0.384;-0.545;0.757;60.0;0.0;0;0.0
09:59:53.196380;8;120284;34167;16449;165354;56697;25378;-0.384;-0.545;0.756;60.0;0.0;0;0.0
09:59:53.206291;9;129851;34169;16449;178571;56702;25377;-0.384;-0.544;0.756;60.0;0.0;0;0.0
09:59:53.216049;10;138906;34172;16449;191074;56709;25376;-0.383;-0.545;0.757;60.0;0.0;0;0.0
09:59:53.216049;11;142907;34171;16449;196582;56705;25378;-0.383;-0.545;0.757;60.0;0.0;0;0.0
09:59:53.226138;12;142881;65213;32487;196534;106983;50125;-0.385;-0.546;0.756;60.0;0.0;0;0.0
09:59:53.401151;13;142897;67784;32490;196565;112549;50134;-0.383;-0.545;0.756;60.0;0.0;0;0.0
09:59:53.413144;14;142905;67786;32488;196579;112564;50137;-0.384;-0.546;0.756;60.0;0.0;0;0.0
09:59:53.421236;15;142872;67768;32485;196526;112526;50128;-0.383;-0.544;0.757;60.0;0.0;0;0.0
09:59:53.426275;16;142869;67770;32490;196520;112519;50130;-0.384;-0.546;0.757;60.0;0.0;0;0.0
