timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
09:59:10.555572,0,107267,37901,33613,106688,106513,106567,-0.608,-0.461,0.510,60.0,0.0,0,0.0
09:59:10.562553,1,238755,37950,33711,237342,237220,237269,-0.606,-0.643,0.574,60.0,0.0,0,0.0
09:59:10.569533,2,274203,37958,33752,275097,368374,368416,-0.622,-0.680,0.605,60.0,0.0,0,0.0
09:59:10.576668,3,234456,37943,33811,234346,493558,493617,-0.520,-0.696,0.662,60.0,0.0,0,0.0
09:59:10.583650,4,193470,37966,33867,194267,524031,524031,-0.507,-0.646,0.665,60.0,0.0,0,0.0
09:59:10.590630,5,177341,37961,33918,179154,524031,524031,-0.504,-0.535,0.671,60.0,0.0,0,0.0
09:59:10.597564,6,173230,37961,33960,175394,524031,524031,-0.476,-0.511,0.687,60.0,0.0,0,0.0
09:59:10.604545,7,172947,37965,34009,175476,524031,524031,-0.491,-0.485,0.687,60.0,0.0,0,0.0
09:59:10.752823,8,172659,37992,34022,175640,524031,524031,-0.505,-0.425,0.677,60.0,0.0,0,0.0
09:59:10.759802,9,172276,37941,34024,175723,524031,524031,-0.479,-0.184,0.610,60.0,0.0,0,0.0
09:59:10.766784,10,171704,37860,33982,175692,524031,524031,-0.515,-0.214,0.636,60.0,0.0,0,0.0
09:59:10.773764,11,171018,37815,33863,175610,524031,524031,-0.631,-0.241,0.691,60.0,0.0,0,0.0
09:59:10.780744,12,170463,71014,64266,175531,524031,524031,-0.660,-0.198,0.826,60.0,0.0,0,0.0
09:59:10.952676,13,170046,75365,66156,175684,524031,524031,-0.625,-0.310,0.871,60.0,0.0,0,0.0
09:59:10.959330,14,169669,75268,65823,175919,524031,524031,-0.726,-0.353,0.859,60.0,0.0,0,0.0
09:59:10.966311,15,169549,75242,65832,176152,524031,524031,-0.765,-0.343,0.871,60.0,0.0,0,0.0
09:59:10.973291,16,169518,75275,65931,176311,524031,524031,-0.786,-0.374,0.832,60.0,0.0,0,0.0
09:59:10.981270,17,169601,75381,66080,176511,524031,524031,-0.791,-0.474,0.899,60.0,0.0,0,0.0
09:59:11.152539,18,169733,75455,66174,176712,524031,524031,-0.831,-0.489,0.886,60.0,0.0,0,0.0
