timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
11:11:53.647776,0,140250,35670,30753,139449,106594,106633,-0.704,-0.703,0.052,60.0,0.0,0,0.0
11:11:53.654730,1,271447,35694,30768,267347,237303,237331,-0.727,-0.740,0.112,60.0,0.0,0,0.0
11:11:53.661501,2,269589,35681,30784,255805,368487,368526,-0.748,-0.777,0.075,60.0,0.0,0,0.0
11:11:53.668971,3,216645,35653,30773,209232,493667,493737,-0.721,-0.767,0.211,60.0,0.0,0,0.0
11:11:53.675481,4,190046,35613,30730,179285,524159,524159,-0.737,-0.768,0.136,60.0,0.0,0,0.0
11:11:53.683022,5,177923,35567,30694,169816,524159,524159,-0.706,-0.759,0.091,60.0,0.0,0,0.0
11:11:53.689454,6,174044,35508,30668,166016,524159,524159,-0.753,-0.719,0.088,60.0,0.0,0,0.0
11:11:53.696719,7,174011,35480,30632,165866,524159,524159,-0.740,-0.712,0.057,60.0,0.0,0,0.0
11:11:53.843620,8,174040,35451,30605,165777,524159,524159,-0.684,-0.739,0.170,60.0,0.0,0,0.0
11:11:53.850747,9,174096,35434,30589,165698,524159,524159,-0.763,-0.752,0.149,60.0,0.0,0,0.0
11:11:53.857866,10,174142,35422,30560,165623,524159,524159,-0.735,-0.758,0.139,60.0,0.0,0,0.0
11:11:53.864853,11,174121,35392,30560,165508,524159,524159,-0.576,-0.853,0.216,60.0,0.0,0,0.0
11:11:53.871805,12,174076,67444,59541,165337,524159,524159,-0.664,-0.770,0.113,60.0,0.0,0,0.0
11:11:54.043558,13,173990,70793,60340,165093,524159,524159,-0.738,-0.721,0.155,60.0,0.0,0,0.0
11:11:54.050573,14,173972,70885,60433,164935,524159,524159,-0.686,-0.790,0.195,60.0,0.0,0,0.0
11:11:54.057405,15,174347,71046,60493,165304,524159,524159,-0.556,-0.893,0.005,60.0,0.0,0,0.0
11:11:54.064362,16,174881,71263,60635,165798,524159,524159,-0.667,-0.763,-0.046,60.0,0.0,0,0.0
11:11:54.071229,17,175457,71591,60939,166131,524159,524159,-0.699,-0.750,0.074,60.0,0.0,0,0.0
11:11:54.244696,18,175969,71729,61077,166598,524159,524159,-0.602,-0.732,0.107,60.0,0.0,0,0.0
11:11:54.252917,19,176390,71840,61172,166965,524159,524159,-0.584,-0.740,0.014,60.0,0.0,0,0.0
11:11:54.262949,20,176706,72025,61342,167160,524159,524159,-0.677,-0.732,0.000,60.0,0.0,0,0.0
11:11:54.269846,21,176776,72219,61570,167076,524159,524159,-0.802,-0.820,0.052,60.0,0.0,0,0.0
11:11:54.276689,22,176731,72329,61759,166871,524159,524159,-0.739,-0.902,0.089,60.0,0.0,0,0.0
11:11:54.443807,23,176589,72322,61796,166655,524159,524159,-0.784,-0.814,0.062,60.0,0.0,0,0.0
11:11:54.451790,24,176418,124514,113615,166656,524159,524159,-0.740,-0.858,-0.062,60.0,0.0,0,0.0
11:11:54.458766,25,176115,141586,120894,166568,524159,524159,-0.639,-0.887,-0.028,60.0,0.0,0,0.0
11:11:54.466745,26,175456,141037,120461,166153,524159,524159,-0.690,-0.781,0.000,60.0,0.0,0,0.0
11:11:54.473726,27,174692,140581,120247,165690,524159,524159,-0.631,-0.778,0.025,60.0,0.0,0,0.0
11:11:54.645337,28,174273,140393,120215,165452,524159,524159,-0.613,-0.700,0.093,60.0,0.0,0,0.0
11:11:54.652688,29,174335,140473,120297,165615,524159,524159,-0.529,-0.755,-0.012,60.0,0.0,0,0.0
11:11:54.659691,30,174467,140517,120494,165701,524159,524159,-0.500,-0.807,-0.015,60.0,0.0,0,0.0
11:11:54.666717,31,174104,140696,120979,165468,524159,524159,-0.606,-0.775,-0.024,60.0,0.0,0,0.0
11:11:54.673781,32,173348,140702,121365,165179,524159,524159,-0.640,-0.904,-0.070,60.0,0.0,0,0.0
11:11:54.844124,33,172794,140620,121587,165141,524159,524159,-0.657,-0.970,0.037,60.0,0.0,0,0.0
11:11:54.851376,34,172675,140629,121763,165396,524159,524159,-0.718,-0.874,0.023,60.0,0.0,0,0.0
11:11:54.857676,35,172942,140597,121738,165960,524159,524159,-0.633,-0.883,0.098,60.0,0.0,0,0.0
11:11:54.865655,36,173286,144174,124941,166261,524159,524159,-0.638,-0.855,0.173,60.0,0.0,0,0.0
11:11:54.872562,37,173800,144101,125109,166482,524159,524159,-0.591,-0.781,0.057,60.0,0.0,0,0.0
11:11:55.043390,38,174507,144385,125675,166844,524159,524159,-0.516,-0.743,0.106,60.0,0.0,0,0.0
11:11:55.050370,39,175250,144857,126170,167537,524159,524159,-0.641,-0.568,0.161,60.0,0.0,0,0.0
11:11:55.057351,40,175769,145058,126152,168114,524159,524159,-0.779,-0.504,0.245,60.0,0.0,0,0.0
11:11:55.064332,41,175839,144499,124996,168273,524159,524159,-0.693,-0.712,0.089,60.0,0.0,0,0.0
11:11:55.072657,42,175538,143682,123556,167985,524159,524159,-0.650,-0.866,0.210,60.0,0.0,0,0.0
11:11:55.244112,43,175024,143183,122465,167383,524159,524159,-1.112,-0.732,0.200,60.0,0.0,0,0.0
11:11:55.251094,44,174793,142710,121724,167135,524159,524159,-0.746,-0.733,0.249,60.0,0.0,0,0.0
11:11:55.259072,45,174747,142365,121336,167014,524159,524159,-0.590,-0.760,0.199,60.0,0.0,0,0.0
11:11:55.266052,46,174385,142322,121397,166265,524159,524159,-0.701,-0.791,0.036,60.0,0.0,0,0.0
11:11:55.273033,47,173974,143120,122368,165551,524159,524159,-0.819,-0.676,0.214,60.0,0.0,0,0.0
11:11:55.445306,48,173910,144062,123364,165443,524159,524159,-0.730,-0.720,0.226,60.0,0.0,0,0.0
11:11:55.451945,49,174034,144442,123745,165671,524159,524159,-0.535,-0.778,0.246,60.0,0.0,0,0.0
11:11:55.458796,50,174173,144725,124048,165896,524159,524159,-0.568,-0.781,0.014,60.0,0.0,0,0.0
11:11:55.465655,51,173906,145010,124388,165776,524159,524159,-0.632,-0.978,-0.029,60.0,0.0,0,0.0
11:11:55.473564,52,173305,145188,124878,165452,524159,524159,-0.797,-0.828,0.100,60.0,0.0,0,0.0
11:11:55.645047,53,172933,145424,125720,165477,524159,524159,-0.586,-0.913,0.302,60.0,0.0,0,0.0
11:11:55.652097,54,173068,145016,125949,165771,524159,524159,-0.258,-1.037,0.266,60.0,0.0,0,0.0
11:11:55.659289,55,173551,145024,126387,166113,524159,524159,-0.666,-0.985,-0.294,60.0,0.0,0,0.0
11:11:55.665689,56,173892,145260,127274,166481,524159,524159,-0.704,-0.746,0.071,60.0,0.0,0,0.0
