timestmp,smpleCnt,grnCnt,led2,led3,grn2Cnt,irCnt,redCnt,accelX,accelY,accelZ,hr,rr,rrsecure,spo2
11:52:29.059459,0,140513,34794,35278,139336,139133,106599,-0.152,-0.466,0.903,60.0,0.0,0,0
11:52:29.078452,1,253393,34796,35275,269118,269659,237030,-0.147,-0.460,0.909,60.0,0.0,0,0
11:52:29.085444,2,297534,34795,35273,354170,400470,367817,-0.152,-0.461,0.907,60.0,0.0,0,0
11:52:29.090441,3,318095,34802,35281,375670,510661,492442,-0.153,-0.461,0.913,60.0,0.0,0,0
11:52:29.100414,4,328931,34795,35273,388363,522623,522623,-0.152,-0.462,0.912,60.0,0.0,0,0
11:52:29.110411,5,332544,34792,35264,392540,522623,522623,-0.155,-0.458,0.906,60.0,0.0,0,0
11:52:29.120542,6,336203,34797,35269,396738,522623,522623,-0.155,-0.463,0.906,60.0,0.0,0,0
11:52:29.131741,7,336473,34802,35273,397052,522623,522623,-0.155,-0.458,0.912,60.0,0.0,0,0
11:52:29.259248,8,336725,34808,35270,397341,522623,522623,-0.152,-0.459,0.910,60.0,0.0,0,0
11:52:29.277238,9,336904,34805,35268,397550,522623,522623,-0.156,-0.458,0.906,60.0,0.0,0,0
11:52:29.288234,10,336913,34793,35260,397591,522623,522623,-0.154,-0.462,0.908,60.0,0.0,0,0
11:52:29.294228,11,336822,34798,35264,397543,522623,522623,-0.152,-0.456,0.908,60.0,0.0,0,0
11:52:29.300223,12,336705,66628,66122,397492,522623,522623,-0.163,-0.463,0.906,60.0,0.0,0,0
11:52:29.456729,13,336511,69673,69007,397468,522623,522623,-0.170,-0.466,0.899,60.0,0.0,0,0
11:52:29.473594,14,336385,69655,68981,397482,522623,522623,-0.152,-0.460,0.909,60.0,0.0,0,0
11:52:29.481590,15,336349,69636,68969,397537,522623,522623,-0.148,-0.460,0.914,60.0,0.0,0,0
11:52:29.491724,16,336292,69627,68943,397589,522623,522623,-0.158,-0.457,0.917,60.0,0.0,0,0
11:52:29.503408,17,336249,69598,68913,397619,522623,522623,-0.155,-0.457,0.916,60.0,0.0,0,0
11:52:29.656006,18,336267,69577,68883,397658,522623,522623,-0.153,-0.463,0.908,60.0,0.0,0,0
11:52:29.667998,19,336325,69583,68879,397697,522623,522623,-0.154,-0.460,0.910,60.0,0.0,0,0
11:52:29.678992,20,336353,69607,68906,397726,522623,522623,-0.153,-0.461,0.912,60.0,0.0,0,0
11:52:29.690986,21,336390,69635,68937,397824,522623,522623,-0.152,-0.457,0.906,60.0,0.0,0,0
11:52:29.701977,22,336393,69650,68942,397921,522623,522623,-0.157,-0.452,0.902,60.0,0.0,0,0
11:52:29.855462,23,336377,69652,68930,398010,522623,522623,-0.150,-0.466,0.916,60.0,0.0,0,0
11:52:29.866456,24,336372,121962,120881,398068,522623,522623,-0.162,-0.460,0.910,60.0,0.0,0,0
11:52:29.876449,25,336390,136793,134564,398074,522623,522623,-0.163,-0.457,0.913,60.0,0.0,0,0
11:52:29.888441,26,336374,136742,134568,397973,522623,522623,-0.154,-0.460,0.915,60.0,0.0,0,0
11:52:29.899435,27,336166,136695,134566,397679,522623,522623,-0.153,-0.457,0.913,60.0,0.0,0,0
11:52:30.057734,28,335904,136665,134560,397295,522623,522623,-0.155,-0.456,0.908,60.0,0.0,0,0
11:52:30.069724,29,335694,136646,134562,396968,522623,522623,-0.160,-0.456,0.906,60.0,0.0,0,0
11:52:30.078725,30,335518,136626,134553,396692,522623,522623,-0.155,-0.456,0.906,60.0,0.0,0,0
11:52:30.089452,31,335368,136588,134529,396480,522623,522623,-0.152,-0.460,0.908,60.0,0.0,0,0
11:52:30.099002,32,335236,136544,134487,396291,522623,522623,-0.160,-0.457,0.910,60.0,0.0,0,0
11:52:30.256899,33,335153,136526,134473,396104,522623,522623,-0.153,-0.457,0.914,60.0,0.0,0,0
11:52:30.267425,34,335046,136525,134482,395879,522623,522623,-0.141,-0.454,0.926,60.0,0.0,0,0
11:52:30.277937,35,334922,136544,134514,395655,522623,522623,-0.141,-0.453,0.927,60.0,0.0,0,0
11:52:30.288634,36,334858,140149,138122,395484,522623,522623,-0.147,-0.452,0.920,60.0,0.0,0,0
11:52:30.299426,37,334821,140181,138171,395327,522623,522623,-0.149,-0.454,0.912,60.0,0.0,0,0
11:52:30.460720,38,334809,140189,138192,395238,522623,522623,-0.148,-0.457,0.908,60.0,0.0,0,0
11:52:30.469708,39,334807,140187,138184,395217,522623,522623,-0.149,-0.459,0.913,60.0,0.0,0,0
11:52:30.478713,40,334842,140166,138172,395241,522623,522623,-0.149,-0.458,0.906,60.0,0.0,0,0
11:52:30.491722,41,334882,140111,138101,395301,522623,522623,-0.152,-0.459,0.909,60.0,0.0,0,0
11:52:30.500760,42,334929,140087,138076,395354,522623,522623,-0.150,-0.458,0.910,60.0,0.0,0,0
11:52:30.658723,43,335007,140085,138059,395409,522623,522623,-0.142,-0.458,0.914,60.0,0.0,0,0
11:52:30.669717,44,335091,140074,138049,395452,522623,522623,-0.144,-0.456,0.914,60.0,0.0,0,0
11:52:30.680737,45,334967,140031,138036,395282,522623,522623,-0.141,-0.459,0.919,60.0,0.0,0,0
11:52:30.700725,46,334642,139982,138007,394929,522623,522623,-0.142,-0.459,0.913,60.0,0.0,0,0
11:52:30.704717,47,334320,139965,138005,394576,522623,522623,-0.142,-0.460,0.912,60.0,0.0,0,0
11:52:30.866355,48,334016,139927,137982,394247,522623,522623,-0.140,-0.461,0.913,60.0,0.0,0,0
11:52:30.882344,49,333733,139870,137930,393949,522623,522623,-0.138,-0.459,0.914,60.0,0.0,0,0
11:52:30.887340,50,333457,139856,137918,393618,522623,522623,-0.138,-0.461,0.913,60.0,0.0,0,0
11:52:30.892337,51,333213,139870,137928,393314,522623,522623,-0.139,-0.458,0.912,60.0,0.0,0,0
11:52:30.900235,52,332998,139881,137921,393055,522623,522623,-0.139,-0.461,0.914,60.0,0.0,0,0
11:52:31.059879,53,332808,139879,137938,392833,522623,522623,-0.138,-0.461,0.910,60.0,0.0,0,0
